Part,Quantity,Price (USD),Link,Notes
"Matrix 1S FC (5in1)",1,49.99,"https://betafpv.com/collections/brushless-flight-controller/products/air-brushless-flight-controller","[✓]"
"C03 FPV Micro Camera",1,11.99,"https://betafpv.com/collections/camera-vtx-1/products/c03-fpv-micro-camera","[✓]"
"0702 29KKV Motors",1,35.00,"https://betafpv.com/collections/brushless-motors/products/0802se-22000kv-brushless-motors","[✓]"
"Gemfan 31mm props",4,4.01,"https://pt.aliexpress.com/item/1005009122072902.html","[✓]"
"BT2.0 300mAh 1S battery (4 pcs)",1,19.99,"https://betafpv.com/collections/batt-1s/products/bt2-0-450mah-1s-30c-battery-4pcs","[ ]"
"m2x10 screws",4,3.48,"https://pt.aliexpress.com/item/1005007249068859.html","[ ]"
"nylon m2 nuts",8,1.31,"https://pt.aliexpress.com/item/1005005203028580.html","[ ]"
"Radiomaster pocket controller",1,76.36,"https://pt.aliexpress.com/item/1005009135876837.html","[ ]"
"TOTAL (All Parts)",,202.13,,
"TOTAL (Parts to Buy)",,101.14,,
